max_df,min_df,phrase_len,alpha,lin_reg_mse,lasso_mse,ridge_mse,baseline_mse
0.1,0.0,1,0.0001,10181.20043516146,11103.410235929161,10180.324142193394,10339.8325
0.1,0.0,1,0.0001,1195.9940671207207,1212.1822946974924,1215.7916143538384,1281.9125000000015
0.1,0.0,1,0.0001,1712.2852773525888,1879.828239264763,1738.4444024289583,1760.1856249999976
0.1,0.0,1,0.0001,2963.2384760019795,4640.028822944665,2975.4524865559397,4274.832499999999
0.1,0.0,1,0.0001,3545.4182589443653,4616.32777154708,3525.6395800881755,3660.815625
0.1,0.0,1,0.0001,4190.806902586137,5585.110122608313,4185.3015070937345,4183.735624999999
0.1,0.0,1,0.0001,4215.38740231332,6255.483812051821,4201.292030049952,5481.832500000001
0.1,0.0,1,0.0001,4784.4224779145015,6710.92049847633,4793.919033373494,5640.069999999999
0.1,0.0,1,0.0001,6770.950465695374,8698.881866740008,6722.9302190909275,7942.27890625
0.1,0.0,1,0.0001,7418.359234595251,8896.056983780756,7348.788330674036,8657.103906249997
0.1,0.0,1,0.0001,7491.708703322563,9653.076261446015,7421.38977338551,8691.11640625
0.1,0.0,1,0.001,10181.20043516146,10935.37050429633,10180.590582656636,10339.8325
0.1,0.0,1,0.001,1195.9940671207207,1191.9358393652462,1215.614519353957,1281.9125000000015
0.1,0.0,1,0.001,1712.2852773525888,1198.8235937911047,1738.6924125235564,1760.1856249999976
0.1,0.0,1,0.001,2963.2384760019795,2627.0433643433635,2976.108693916861,4274.832499999999
0.1,0.0,1,0.001,3545.4182589443653,4038.1365600909558,3525.8530595850834,3660.815625
0.1,0.0,1,0.001,4190.806902586137,4989.2319846557275,4185.11837931584,4183.735624999999
0.1,0.0,1,0.001,4215.38740231332,5329.815965255566,4202.465228159509,5481.832500000001
0.1,0.0,1,0.001,4784.4224779145015,5060.583591463199,4795.333854204019,5640.069999999999
0.1,0.0,1,0.001,6770.950465695374,7933.409912913502,6723.927739526638,7942.27890625
0.1,0.0,1,0.001,7418.359234595251,8956.173244306174,7350.647836527831,8657.103906249997
0.1,0.0,1,0.001,7491.708703322563,8834.997117124161,7422.733906174309,8691.11640625
0.1,0.0,1,0.01,10181.20043516146,10856.562530629231,10181.888007959393,10339.8325
0.1,0.0,1,0.01,1195.9940671207207,1552.1924617340032,1215.8830447749501,1281.9125000000015
0.1,0.0,1,0.01,1712.2852773525888,1266.0600854901759,1739.4395535065978,1760.1856249999976
0.1,0.0,1,0.01,2963.2384760019795,1361.8257238611423,2986.1206921294424,4274.832499999999
0.1,0.0,1,0.01,3545.4182589443653,4905.873965588047,3527.2506435544797,3660.815625
0.1,0.0,1,0.01,4190.806902586137,5213.52852209921,4185.052001636614,4183.735624999999
0.1,0.0,1,0.01,4215.38740231332,5725.777761224118,4213.371055498443,5481.832500000001
0.1,0.0,1,0.01,4784.4224779145015,5215.844863718992,4800.943144511402,5640.069999999999
0.1,0.0,1,0.01,6770.950465695374,8687.874609807697,6735.08266445326,7942.27890625
0.1,0.0,1,0.01,7418.359234595251,9599.77932361911,7362.053387739807,8657.103906249997
0.1,0.0,1,0.01,7491.708703322563,9522.822180674291,7433.730673213012,8691.11640625
0.1,0.0,1,0.1,10181.20043516146,10656.843035727612,10192.017651136352,10339.8325
0.1,0.0,1,0.1,1195.9940671207207,1531.165239602546,1213.1952627599144,1281.9125000000015
0.1,0.0,1,0.1,1712.2852773525888,1282.9918536931693,1735.7995146452936,1760.1856249999976
0.1,0.0,1,0.1,2963.2384760019795,1555.7779917294763,3078.8651311932836,4274.832499999999
0.1,0.0,1,0.1,3545.4182589443653,4714.583274278405,3538.656262096532,3660.815625
0.1,0.0,1,0.1,4190.806902586137,5054.764711659466,4183.949195929343,4183.735624999999
0.1,0.0,1,0.1,4215.38740231332,5615.595277890962,4308.0438918017835,5481.832500000001
0.1,0.0,1,0.1,4784.4224779145015,4660.666755484767,4857.344680439683,5640.069999999999
0.1,0.0,1,0.1,6770.950465695374,8368.702700539307,6834.567166866889,7942.27890625
0.1,0.0,1,0.1,7418.359234595251,9241.45148231682,7466.512672852868,8657.103906249997
0.1,0.0,1,0.1,7491.708703322563,9219.625521275855,7548.220277873159,8691.11640625
0.1,0.0,1,1,10181.20043516146,10379.575988959212,10249.977987874714,10339.8325
0.1,0.0,1,1,1195.9940671207207,1231.441327890036,1232.6391727902808,1281.9125000000015
0.1,0.0,1,1,1712.2852773525888,1640.4243396166955,1729.2515163536318,1760.1856249999976
0.1,0.0,1,1,2963.2384760019795,4286.133096950609,3585.5126828719476,4274.832499999999
0.1,0.0,1,1,3545.4182589443653,3702.2606027970483,3588.6753887776963,3660.815625
0.1,0.0,1,1,4190.806902586137,4262.385913954263,4178.171351654222,4183.735624999999
0.1,0.0,1,1,4215.38740231332,5409.029761525746,4805.091505198908,5481.832500000001
0.1,0.0,1,1,4784.4224779145015,5471.655531970231,5176.15420746689,5640.069999999999
0.1,0.0,1,1,6770.950465695374,7907.805837241724,7326.11750009071,7942.27890625
0.1,0.0,1,1,7418.359234595251,8684.8511760387,7999.619250068844,8657.103906249997
0.1,0.0,1,1,7491.708703322563,8666.29657560347,8062.587340706799,8691.11640625
0.1,0.0,1,10,10181.20043516146,10339.8325,10320.599875432872,10339.8325
0.1,0.0,1,10,1195.9940671207207,1281.9125000000015,1271.6580856743217,1281.9125000000015
0.1,0.0,1,10,1712.2852773525888,1760.1856249999976,1753.146657462627,1760.1856249999976
0.1,0.0,1,10,2963.2384760019795,4274.832499999999,4143.79211582869,4274.832499999999
0.1,0.0,1,10,3545.4182589443653,3660.815625,3644.6357934269863,3660.815625
0.1,0.0,1,10,4190.806902586137,4183.735624999999,4181.528375898258,4183.735624999999
0.1,0.0,1,10,4215.38740231332,5481.832500000001,5350.511710187056,5481.832500000001
0.1,0.0,1,10,4784.4224779145015,5640.069999999999,5550.39165518035,5640.069999999999
0.1,0.0,1,10,6770.950465695374,7942.27890625,7826.758747708451,7942.27890625
0.1,0.0,1,10,7418.359234595251,8657.103906249997,8535.771976158805,8657.103906249997
0.1,0.0,1,10,7491.708703322563,8691.11640625,8576.049378769818,8691.11640625
0.1,0.0,1,100,10181.20043516146,10339.8325,10338.485583110212,10339.8325
0.1,0.0,1,100,1195.9940671207207,1281.9125000000015,1281.772563694811,1281.9125000000015
0.1,0.0,1,100,1712.2852773525888,1760.1856249999976,1756.7901244586096,1760.1856249999976
0.1,0.0,1,100,2963.2384760019795,4274.832499999999,4261.365912834639,4274.832499999999
0.1,0.0,1,100,3545.4182589443653,3660.815625,3660.1902644844195,3660.815625
0.1,0.0,1,100,4190.806902586137,4183.735624999999,4183.395028935689,4183.735624999999
0.1,0.0,1,100,4215.38740231332,5481.832500000001,5469.324282740677,5481.832500000001
0.1,0.0,1,100,4784.4224779145015,5640.069999999999,5630.800604096175,5640.069999999999
0.1,0.0,1,100,6770.950465695374,7942.27890625,7926.981243683947,7942.27890625
0.1,0.0,1,100,7418.359234595251,8657.103906249997,8645.81367868214,8657.103906249997
0.1,0.0,1,100,7491.708703322563,8691.11640625,8676.956335377428,8691.11640625
0.1,0.0,3,0.0001,1086.7064843592757,2052.1250999089043,1086.1024023646949,1126.0551562499995
0.1,0.0,3,0.0001,1096.8330092261185,2105.102179781189,1097.0298597687624,1158.5614062499994
0.1,0.0,3,0.0001,1193.1066774783749,1408.4321518921784,1196.3583633179255,1292.01640625
0.1,0.0,3,0.0001,12456.08143055716,13297.08848619187,12476.297506713388,12959.8
0.1,0.0,3,0.0001,1304.0558244924975,775.1731322528152,1302.5304972482145,1429.190625
0.1,0.0,3,0.0001,17306.755263539733,18524.306135481693,17309.196064356034,17910.71390625001
0.1,0.0,3,0.0001,3478.61248300484,3521.336008864187,3478.6333888545473,4040.7125
0.1,0.0,3,0.0001,3490.731858351821,3563.9604650692027,3490.8473170508923,4031.2125
0.1,0.0,3,0.0001,5316.914002269146,6056.038022575822,5317.325265139568,5749.075625000001
0.1,0.0,3,0.0001,7384.949920665854,8190.958012199679,7384.194354694,7928.200625
0.1,0.0,3,0.0001,9488.985697477836,10375.817839888452,9495.262681000695,9533.77890625
0.1,0.0,3,0.001,1086.7064843592757,1279.2197826138936,1086.0945584293772,1126.0551562499995
0.1,0.0,3,0.001,1096.8330092261185,1196.501163139293,1097.2092050638385,1158.5614062499994
0.1,0.0,3,0.001,1193.1066774783749,955.6736880721257,1196.4752067994227,1292.01640625
0.1,0.0,3,0.001,12456.08143055716,11198.2238729916,12476.115875890988,12959.8
0.1,0.0,3,0.001,1304.0558244924975,604.3391878942442,1302.5228464854724,1429.190625
0.1,0.0,3,0.001,17306.755263539733,17626.093066286416,17309.960822299025,17910.71390625001
0.1,0.0,3,0.001,3478.61248300484,1508.5422202969435,3479.0814108953405,4040.7125
0.1,0.0,3,0.001,3490.731858351821,1501.8814382169571,3491.2932101547785,4031.2125
0.1,0.0,3,0.001,5316.914002269146,5016.220150866189,5317.527739694093,5749.075625000001
0.1,0.0,3,0.001,7384.949920665854,5730.035430669906,7384.873243862559,7928.200625
0.1,0.0,3,0.001,9488.985697477836,10427.442486714524,9495.467180194022,9533.77890625
0.1,0.0,3,0.01,1086.7064843592757,1284.1255066043236,1086.4940869413053,1126.0551562499995
0.1,0.0,3,0.01,1096.8330092261185,1181.001205502032,1097.4037777177452,1158.5614062499994
0.1,0.0,3,0.01,1193.1066774783749,913.9835365947507,1196.9300101342346,1292.01640625
0.1,0.0,3,0.01,12456.08143055716,10303.357703916485,12479.0705349925,12959.8
0.1,0.0,3,0.01,1304.0558244924975,615.251692326862,1302.082864957726,1429.190625
0.1,0.0,3,0.01,17306.755263539733,17558.526628157204,17315.066111972323,17910.71390625001
0.1,0.0,3,0.01,3478.61248300484,873.0673663178659,3483.6430292451173,4040.7125
0.1,0.0,3,0.01,3490.731858351821,850.1333943448577,3495.869216732968,4031.2125
0.1,0.0,3,0.01,5316.914002269146,4952.146519484424,5321.379650316741,5749.075625000001
0.1,0.0,3,0.01,7384.949920665854,5050.34653875887,7389.48141269525,7928.200625
0.1,0.0,3,0.01,9488.985697477836,10267.354248653934,9494.641772060388,9533.77890625
0.1,0.0,3,0.1,1086.7064843592757,1199.1232393286227,1089.0149808528595,1126.0551562499995
0.1,0.0,3,0.1,1096.8330092261185,1116.9950277913647,1100.9271083430272,1158.5614062499994
0.1,0.0,3,0.1,1193.1066774783749,965.0989191871562,1201.0108161853257,1292.01640625
0.1,0.0,3,0.1,12456.08143055716,10412.78615647062,12511.157241335153,12959.8
0.1,0.0,3,0.1,1304.0558244924975,849.1437097504971,1316.7485988968733,1429.190625
0.1,0.0,3,0.1,17306.755263539733,17203.477950759214,17366.076301569552,17910.71390625001
0.1,0.0,3,0.1,3478.61248300484,1236.49405490548,3526.0698177082327,4040.7125
0.1,0.0,3,0.1,3490.731858351821,1230.4441137457648,3537.419297704268,4031.2125
0.1,0.0,3,0.1,5316.914002269146,5029.170037239421,5354.710625224369,5749.075625000001
0.1,0.0,3,0.1,7384.949920665854,5202.693217943347,7432.042603862709,7928.200625
0.1,0.0,3,0.1,9488.985697477836,9951.529790132132,9494.924561757467,9533.77890625
0.1,0.0,3,1,1086.7064843592757,1126.0551562499995,1101.881157654923,1126.0551562499995
0.1,0.0,3,1,1096.8330092261185,1158.5614062499994,1122.4693438849797,1158.5614062499994
0.1,0.0,3,1,1193.1066774783749,1292.01640625,1239.8263202947103,1292.01640625
0.1,0.0,3,1,12456.08143055716,12959.8,12713.455062195606,12959.8
0.1,0.0,3,1,1304.0558244924975,1429.190625,1352.7396437595157,1429.190625
0.1,0.0,3,1,17306.755263539733,17910.71390625001,17610.06677833829,17910.71390625001
0.1,0.0,3,1,3478.61248300484,4040.7125,3748.9024871458037,4040.7125
0.1,0.0,3,1,3490.731858351821,4031.2125,3753.511879793294,4031.2125
0.1,0.0,3,1,5316.914002269146,5749.075625000001,5526.849955069314,5749.075625000001
0.1,0.0,3,1,7384.949920665854,7928.200625,7650.056443576845,7928.200625
0.1,0.0,3,1,9488.985697477836,9533.77890625,9509.137309086796,9533.77890625
0.1,0.0,3,10,1086.7064843592757,1126.0551562499995,1121.1131538838338,1126.0551562499995
0.1,0.0,3,10,1096.8330092261185,1158.5614062499994,1151.0610490373278,1158.5614062499994
0.1,0.0,3,10,1193.1066774783749,1292.01640625,1280.0509726171938,1292.01640625
0.1,0.0,3,10,12456.08143055716,12959.8,12911.6809246634,12959.8
0.1,0.0,3,10,1304.0558244924975,1429.190625,1417.6947617256076,1429.190625
0.1,0.0,3,10,17306.755263539733,17910.71390625001,17852.483179227398,17910.71390625001
0.1,0.0,3,10,3478.61248300484,4040.7125,3985.91565842816,4040.7125
0.1,0.0,3,10,3490.731858351821,4031.2125,3979.456042949246,4031.2125
0.1,0.0,3,10,5316.914002269146,5749.075625000001,5707.206602471027,5749.075625000001
0.1,0.0,3,10,7384.949920665854,7928.200625,7876.201305638385,7928.200625
0.1,0.0,3,10,9488.985697477836,9533.77890625,9528.34047411027,9533.77890625
0.1,0.0,3,100,1086.7064843592757,1126.0551562499995,1125.3295680711606,1126.0551562499995
0.1,0.0,3,100,1096.8330092261185,1158.5614062499994,1158.4824730990083,1158.5614062499994
0.1,0.0,3,100,1193.1066774783749,1292.01640625,1292.2997347662365,1292.01640625
0.1,0.0,3,100,12456.08143055716,12959.8,12953.267611827761,12959.8
0.1,0.0,3,100,1304.0558244924975,1429.190625,1430.7463415483303,1429.190625
0.1,0.0,3,100,17306.755263539733,17910.71390625001,17907.49314254019,17910.71390625001
0.1,0.0,3,100,3478.61248300484,4040.7125,4034.652705601801,4040.7125
0.1,0.0,3,100,3490.731858351821,4031.2125,4025.4195053211106,4031.2125
0.1,0.0,3,100,5316.914002269146,5749.075625000001,5744.694573219572,5749.075625000001
0.1,0.0,3,100,7384.949920665854,7928.200625,7923.129585577057,7928.200625
0.1,0.0,3,100,9488.985697477836,9533.77890625,9531.1736028343,9533.77890625
0.1,0.0,5,0.0001,10100.25401340143,10730.528845176439,10103.573848311302,10124.017656250002
0.1,0.0,5,0.0001,1022.4747380542685,990.736421870621,1017.3341211846213,1037.7099999999969
0.1,0.0,5,0.0001,1052.119495144171,1455.2280352345747,1049.521850087543,1090.89140625
0.1,0.0,5,0.0001,1092.555841247712,1327.4862874645207,1092.8641806511885,1120.5200000000025
0.1,0.0,5,0.0001,1093.0028161315213,1724.2336405502526,1092.3663415667863,1092.940625
0.1,0.0,5,0.0001,1365.906622243449,1187.2545765217433,1365.6903538750523,1406.053906250001
0.1,0.0,5,0.0001,1477.760008432969,1608.9307212065087,1481.9278389071537,1566.0364062499975
0.1,0.0,5,0.0001,1510.1407970486955,1450.6791394900058,1505.3879453208338,1544.17890625
0.1,0.0,5,0.0001,3617.3630801924833,4078.478824320272,3619.1384426470104,3684.0856250000006
0.1,0.0,5,0.0001,898.941265185313,691.3803852934464,898.88371566966,928.2324999999989
0.1,0.0,5,0.0001,9694.319938760327,10267.013017902336,9695.867784510841,9739.185624999998
0.1,0.0,5,0.001,10100.25401340143,10699.237453990712,10103.219719241995,10124.017656250002
0.1,0.0,5,0.001,1022.4747380542685,780.5675609123202,1017.3110687546165,1037.7099999999969
0.1,0.0,5,0.001,1052.119495144171,913.0749297628439,1049.539814039188,1090.89140625
0.1,0.0,5,0.001,1092.555841247712,943.0829319489998,1092.9718789367303,1120.5200000000025
0.1,0.0,5,0.001,1093.0028161315213,1228.6618621704342,1092.3093631227155,1092.940625
0.1,0.0,5,0.001,1365.906622243449,1232.595017189591,1365.8033112187863,1406.053906250001
0.1,0.0,5,0.001,1477.760008432969,918.4011613656241,1481.6847523436022,1566.0364062499975
0.1,0.0,5,0.001,1510.1407970486955,1225.9752668032609,1505.6556496968076,1544.17890625
0.1,0.0,5,0.001,3617.3630801924833,4317.2480097514845,3619.2965232748284,3684.0856250000006
0.1,0.0,5,0.001,898.941265185313,676.4196776948921,898.7750470667809,928.2324999999989
0.1,0.0,5,0.001,9694.319938760327,10032.945338267291,9695.922375739216,9739.185624999998
0.1,0.0,5,0.01,10100.25401340143,10564.646074264356,10103.294542386533,10124.017656250002
0.1,0.0,5,0.01,1022.4747380542685,741.4314349076149,1017.5337920503446,1037.7099999999969
0.1,0.0,5,0.01,1052.119495144171,840.8980953185916,1049.7588585431922,1090.89140625
0.1,0.0,5,0.01,1092.555841247712,1298.7431631349007,1093.4102993820727,1120.5200000000025
0.1,0.0,5,0.01,1093.0028161315213,1174.1589629368252,1092.1794409156687,1092.940625
0.1,0.0,5,0.01,1365.906622243449,1250.333333756679,1366.1266693108732,1406.053906250001
0.1,0.0,5,0.01,1477.760008432969,1297.1510090212355,1483.0994429502518,1566.0364062499975
0.1,0.0,5,0.01,1510.1407970486955,1207.705034090091,1507.986723242891,1544.17890625
0.1,0.0,5,0.01,3617.3630801924833,4060.459342402367,3619.6959530054264,3684.0856250000006
